,0
0,129000.0
1,155000.0
2,185000.0
3,181900.0
4,213500.0
5,183200.0
6,173000.0
7,183200.0
8,189000.0
9,129500.0
10,206300.0
11,118000.0
12,83500.0
13,148500.0
14,139400.0
15,426000.0
16,233230.0
17,315000.0
18,236500.0
19,386250.0
20,268000.0
21,192000.0
22,176432.0
23,208900.0
24,180000.0
25,225000.0
26,402000.0
27,250000.0
28,250580.0
29,218000.0
30,176000.0
31,129000.0
32,181900.0
33,339750.0
34,305900.0
35,190000.0
36,208900.0
37,148800.0
38,148800.0
39,81000.0
40,177000.0
41,175500.0
42,318000.0
43,220000.0
44,204900.0
45,185750.0
46,129000.0
47,215000.0
48,159000.0
49,163000.0
50,165000.0
51,180000.0
52,165150.0
53,127000.0
54,191000.0
55,154000.0
56,136000.0
57,142953.0
58,233170.0
59,142000.0
60,163000.0
61,167000.0
62,110000.0
63,115000.0
64,62383.0
65,114500.0
66,79900.0
67,120000.0
68,139000.0
69,182900.0
70,115000.0
71,132000.0
72,167500.0
73,108000.0
74,139000.0
75,120000.0
76,58500.0
77,161000.0
78,303477.0
79,128000.0
80,176500.0
81,139000.0
82,197000.0
83,88000.0
84,80000.0
85,75000.0
86,140000.0
87,152000.0
88,79900.0
89,132000.0
90,108480.0
91,132000.0
92,135500.0
93,66500.0
94,127000.0
95,78000.0
96,145000.0
97,90000.0
98,128000.0
99,133900.0
100,131000.0
101,134000.0
102,137000.0
103,165000.0
104,172500.0
105,226000.0
106,82000.0
107,208900.0
108,153000.0
109,134800.0
110,145250.0
111,137500.0
112,215000.0
113,60000.0
114,187500.0
115,237500.0
116,198900.0
117,181000.0
118,149900.0
119,186500.0
120,159000.0
121,129000.0
122,305900.0
123,236000.0
124,136500.0
125,61000.0
126,110000.0
127,176000.0
128,80000.0
129,153337.0
130,108000.0
131,100000.0
132,115000.0
133,169000.0
134,117500.0
135,222500.0
136,154300.0
137,183000.0
138,220000.0
139,213500.0
140,89000.0
141,106000.0
142,125500.0
143,275000.0
144,252000.0
145,161500.0
146,150900.0
147,207500.0
148,198900.0
149,167500.0
150,132250.0
151,167500.0
152,171500.0
153,134500.0
154,75500.0
155,84500.0
156,83500.0
157,124900.0
158,129000.0
159,118964.0
160,81000.0
161,165500.0
162,324000.0
163,237500.0
164,127500.0
165,186700.0
166,185000.0
167,248000.0
168,185000.0
169,423000.0
170,212000.0
171,212000.0
172,180000.0
173,183200.0
174,165600.0
175,162500.0
176,152000.0
177,219500.0
178,181000.0
179,219500.0
180,193500.0
181,225000.0
182,210000.0
183,220000.0
184,184000.0
185,155000.0
186,175500.0
187,138800.0
188,158000.0
189,120500.0
190,124500.0
191,118000.0
192,106000.0
193,146000.0
194,139400.0
195,146000.0
196,146000.0
197,146000.0
198,139400.0
199,151000.0
200,485000.0
201,335000.0
202,555000.0
203,555000.0
204,337500.0
205,312500.0
206,410000.0
207,337500.0
208,277500.0
209,337500.0
210,240000.0
211,386250.0
212,309000.0
213,255500.0
214,196000.0
215,196000.0
216,207500.0
217,555000.0
218,440000.0
219,319900.0
220,266000.0
221,297000.0
222,207000.0
223,164990.0
224,176000.0
225,160200.0
226,164990.0
227,185000.0
228,185000.0
229,184000.0
230,180000.0
231,248000.0
232,180000.0
233,173000.0
234,170000.0
235,320000.0
236,178000.0
237,315000.0
238,345000.0
239,239799.0
240,237000.0
241,249700.0
242,249700.0
243,306000.0
244,230000.0
245,555000.0
246,227680.0
247,207500.0
248,315500.0
249,232000.0
250,275000.0
251,209500.0
252,311872.0
253,227000.0
254,206000.0
255,155000.0
256,155000.0
257,150750.0
258,224900.0
259,295493.0
260,155000.0
261,158500.0
262,155000.0
263,207500.0
264,222500.0
265,200500.0
266,169990.0
267,185900.0
268,173000.0
269,112000.0
270,125000.0
271,147000.0
272,143750.0
273,135000.0
274,138500.0
275,130000.0
276,350000.0
277,194500.0
278,301000.0
279,190000.0
280,194700.0
281,168500.0
282,183900.0
283,324000.0
284,302000.0
285,348000.0
286,200000.0
287,250000.0
288,170000.0
289,155000.0
290,219500.0
291,124900.0
292,172500.0
293,205000.0
294,170000.0
295,120500.0
296,130000.0
297,163000.0
298,137900.0
299,163000.0
300,161500.0
301,192140.0
302,175500.0
303,115000.0
304,163500.0
305,197500.0
306,157500.0
307,154000.0
308,174000.0
309,130000.0
310,154000.0
311,127000.0
312,157000.0
313,112000.0
314,126175.0
315,110000.0
316,109500.0
317,118500.0
318,120000.0
319,189000.0
320,145000.0
321,109500.0
322,120000.0
323,115000.0
324,120000.0
325,243000.0
326,171900.0
327,39300.0
328,94000.0
329,82500.0
330,200000.0
331,127000.0
332,137000.0
333,135000.0
334,136000.0
335,94500.0
336,109500.0
337,132000.0
338,109500.0
339,115000.0
340,104900.0
341,176500.0
342,165150.0
343,144000.0
344,132000.0
345,119500.0
346,87000.0
347,106500.0
348,128000.0
349,132000.0
350,128000.0
351,89500.0
352,115000.0
353,107900.0
354,39300.0
355,105900.0
356,132000.0
357,139500.0
358,120000.0
359,81000.0
360,107400.0
361,173000.0
362,40000.0
363,149000.0
364,138887.0
365,94500.0
366,113000.0
367,133000.0
368,115000.0
369,158000.0
370,167500.0
371,130000.0
372,188700.0
373,128000.0
374,155000.0
375,115000.0
376,121600.0
377,140000.0
378,64500.0
379,179000.0
380,132500.0
381,78000.0
382,132000.0
383,135000.0
384,140000.0
385,139000.0
386,138887.0
387,61000.0
388,139600.0
389,127000.0
390,146500.0
391,134000.0
392,145000.0
393,194000.0
394,79900.0
395,221000.0
396,115000.0
397,142953.0
398,118964.0
399,153337.0
400,118964.0
401,197000.0
402,197000.0
403,197000.0
404,285000.0
405,320000.0
406,255500.0
407,312500.0
408,203000.0
409,295493.0
410,283463.0
411,173900.0
412,231500.0
413,149000.0
414,206300.0
415,187000.0
416,210000.0
417,203000.0
418,143000.0
419,143750.0
420,221000.0
421,237000.0
422,196500.0
423,237000.0
424,272000.0
425,312500.0
426,206300.0
427,280000.0
428,156932.0
429,137500.0
430,145000.0
431,115000.0
432,145000.0
433,118000.0
434,127000.0
435,119000.0
436,158000.0
437,64500.0
438,143500.0
439,200100.0
440,173000.0
441,98600.0
442,197000.0
443,125000.0
444,179900.0
445,127000.0
446,211000.0
447,124000.0
448,85400.0
449,124000.0
450,189000.0
451,294000.0
452,200000.0
453,40000.0
454,392500.0
455,61000.0
456,275500.0
457,133000.0
458,142500.0
459,167500.0
460,555000.0
461,325000.0
462,272000.0
463,275000.0
464,195000.0
465,395192.0
466,169900.0
467,180000.0
468,133900.0
469,148000.0
470,123000.0
471,120000.0
472,192140.0
473,173000.0
474,187500.0
475,193000.0
476,183200.0
477,175000.0
478,209500.0
479,210000.0
480,169000.0
481,186500.0
482,180000.0
483,309000.0
484,326000.0
485,185000.0
486,319900.0
487,197900.0
488,275000.0
489,195400.0
490,262280.0
491,302000.0
492,162000.0
493,190000.0
494,106000.0
495,250000.0
496,156500.0
497,339750.0
498,112000.0
499,110000.0
500,115000.0
501,91000.0
502,91000.0
503,113000.0
504,148500.0
505,139400.0
506,293077.0
507,359100.0
508,315000.0
509,466500.0
510,402861.0
511,350000.0
512,248000.0
513,337000.0
514,555000.0
515,271000.0
516,403000.0
517,403000.0
518,314813.0
519,187100.0
520,319900.0
521,220000.0
522,213500.0
523,173000.0
524,210000.0
525,175900.0
526,171750.0
527,183200.0
528,165400.0
529,222500.0
530,230000.0
531,221000.0
532,165400.0
533,290000.0
534,178000.0
535,250000.0
536,415298.0
537,440000.0
538,238000.0
539,281213.0
540,225000.0
541,260000.0
542,233230.0
543,270000.0
544,230000.0
545,213500.0
546,230000.0
547,250580.0
548,200000.0
549,180000.0
550,162500.0
551,176000.0
552,175900.0
553,179000.0
554,195400.0
555,172400.0
556,197900.0
557,147000.0
558,123000.0
559,106500.0
560,132000.0
561,168000.0
562,167500.0
563,200000.0
564,437154.0
565,205950.0
566,81000.0
567,146000.0
568,172500.0
569,277500.0
570,277500.0
571,277500.0
572,277500.0
573,179400.0
574,155000.0
575,263435.0
576,254000.0
577,333168.0
578,230000.0
579,475000.0
580,235000.0
581,231500.0
582,197500.0
583,197900.0
584,275000.0
585,125000.0
586,168000.0
587,130000.0
588,118964.0
589,174500.0
590,106500.0
591,139000.0
592,140000.0
593,94500.0
594,186700.0
595,79900.0
596,133700.0
597,186500.0
598,154000.0
599,127000.0
600,180000.0
601,139000.0
602,115000.0
603,155000.0
604,129000.0
605,185000.0
606,140000.0
607,154300.0
608,82000.0
609,107900.0
610,108000.0
611,153900.0
612,143000.0
613,196500.0
614,176000.0
615,129000.0
616,160000.0
617,135000.0
618,113000.0
619,119750.0
620,119000.0
621,119000.0
622,162900.0
623,110000.0
624,160000.0
625,83000.0
626,110000.0
627,98000.0
628,88000.0
629,135500.0
630,115000.0
631,141500.0
632,175000.0
633,149000.0
634,95000.0
635,88000.0
636,80000.0
637,162900.0
638,61000.0
639,124000.0
640,160000.0
641,143000.0
642,115000.0
643,87000.0
644,135500.0
645,67000.0
646,197000.0
647,113000.0
648,113000.0
649,110500.0
650,174500.0
651,139000.0
652,115000.0
653,66500.0
654,139000.0
655,110000.0
656,152000.0
657,106000.0
658,103200.0
659,105000.0
660,115000.0
661,120000.0
662,90000.0
663,176000.0
664,132000.0
665,207000.0
666,138000.0
667,139500.0
668,82500.0
669,146500.0
670,165000.0
671,110000.0
672,108480.0
673,112000.0
674,90000.0
675,58500.0
676,84500.0
677,148500.0
678,169900.0
679,134500.0
680,148500.0
681,154000.0
682,155000.0
683,131500.0
684,138500.0
685,163500.0
686,211000.0
687,110000.0
688,149900.0
689,275000.0
690,139400.0
691,153000.0
692,152000.0
693,129000.0
694,141000.0
695,200000.0
696,235000.0
697,205000.0
698,269790.0
699,176000.0
700,281000.0
701,239000.0
702,239000.0
703,295493.0
704,162000.0
705,147000.0
706,206300.0
707,208900.0
708,178000.0
709,237000.0
710,151000.0
711,125000.0
712,180000.0
713,236000.0
714,320000.0
715,312500.0
716,290000.0
717,210000.0
718,136500.0
719,188000.0
720,187100.0
721,203000.0
722,174000.0
723,84500.0
724,135000.0
725,142000.0
726,171000.0
727,174000.0
728,169000.0
729,82000.0
730,82000.0
731,91000.0
732,91500.0
733,52000.0
734,110000.0
735,91300.0
736,87000.0
737,167000.0
738,87000.0
739,119000.0
740,139000.0
741,161000.0
742,136500.0
743,139000.0
744,127000.0
745,139000.0
746,245000.0
747,200000.0
748,167000.0
749,139000.0
750,110500.0
751,135750.0
752,85000.0
753,143000.0
754,79900.0
755,146500.0
756,61000.0
757,40000.0
758,40000.0
759,64500.0
760,392500.0
761,311872.0
762,320000.0
763,237000.0
764,125000.0
765,163500.0
766,241000.0
767,262500.0
768,220000.0
769,167500.0
770,230000.0
771,181900.0
772,171500.0
773,271000.0
774,201000.0
775,280000.0
776,312500.0
777,206300.0
778,84500.0
779,140000.0
780,164500.0
781,154000.0
782,127000.0
783,91000.0
784,91000.0
785,155000.0
786,91500.0
787,124500.0
788,124500.0
789,129000.0
790,117500.0
791,168000.0
792,179200.0
793,187000.0
794,193000.0
795,189000.0
796,200000.0
797,185000.0
798,181900.0
799,140000.0
800,180000.0
801,180000.0
802,309000.0
803,402861.0
804,211000.0
805,277500.0
806,305000.0
807,415298.0
808,164000.0
809,206000.0
810,275000.0
811,193000.0
812,140000.0
813,196000.0
814,143000.0
815,82500.0
816,176000.0
817,172500.0
818,130000.0
819,124500.0
820,169990.0
821,177500.0
822,79900.0
823,112000.0
824,139400.0
825,130000.0
826,337500.0
827,249700.0
828,440000.0
829,386250.0
830,290000.0
831,386250.0
832,555000.0
833,466500.0
834,402861.0
835,403000.0
836,337000.0
837,337500.0
838,268000.0
839,340000.0
840,275000.0
841,230000.0
842,230000.0
843,252000.0
844,194700.0
845,194700.0
846,194700.0
847,209500.0
848,277500.0
849,213500.0
850,210000.0
851,172785.0
852,174000.0
853,172500.0
854,172785.0
855,179000.0
856,186000.0
857,172785.0
858,180000.0
859,196500.0
860,261500.0
861,160200.0
862,208500.0
863,180000.0
864,203000.0
865,164990.0
866,236000.0
867,215000.0
868,181000.0
869,181900.0
870,302000.0
871,466500.0
872,348000.0
873,290000.0
874,255900.0
875,290000.0
876,182000.0
877,318000.0
878,230000.0
879,394432.0
880,190000.0
881,254000.0
882,204900.0
883,263000.0
884,252000.0
885,213500.0
886,205950.0
887,212000.0
888,167500.0
889,270000.0
890,236500.0
891,230000.0
892,200000.0
893,154000.0
894,149000.0
895,176000.0
896,184000.0
897,187500.0
898,139000.0
899,130000.0
900,150000.0
901,320000.0
902,140000.0
903,156000.0
904,220000.0
905,170000.0
906,215000.0
907,203000.0
908,212000.0
909,176000.0
910,168500.0
911,145000.0
912,303477.0
913,303477.0
914,270000.0
915,262280.0
916,287000.0
917,113000.0
918,129000.0
919,148500.0
920,165000.0
921,202500.0
922,212900.0
923,239799.0
924,141000.0
