,0
0,118340.72948575595
1,164891.89297888812
2,177383.24500281084
3,180863.42148912637
4,198396.26162271152
5,176237.51160264589
6,165282.48171465888
7,165603.06917699915
8,186411.27707872397
9,126838.33906679026
10,203734.19901460272
11,96916.18009313296
12,94034.78592728754
13,151846.48079061916
14,136197.8297286284
15,408189.659324607
16,252330.13420789217
17,305074.1573082258
18,294161.54445883504
19,485043.9250478399
20,319296.9020468497
21,212863.6900207031
22,169568.50985881276
23,170538.53737079902
24,182770.42049018753
25,191633.00242576317
26,362011.8847434234
27,239551.51223463778
28,201732.7918673368
29,227059.90332537456
30,190365.73707388598
31,86277.28465342769
32,188666.22328724287
33,299658.9528701707
34,296763.943231297
35,228802.51776463457
36,176600.80759296933
37,167153.60546506924
38,170232.14570924424
39,147901.22397744286
40,164013.01956709192
41,160063.43752166026
42,292984.2165255533
43,226600.14577846378
44,216465.75202457758
45,188628.71213068897
46,236870.27318601354
47,198464.31121540914
48,164480.7789133345
49,146315.08427043952
50,145262.2493194157
51,179615.1005108528
52,141308.02033984812
53,166754.63952071941
54,198205.94526311872
55,168201.0136050524
56,155256.55426315067
57,139243.29958521115
58,224028.10481247518
59,135680.12529979314
60,136634.97222792698
61,168639.7631892824
62,106252.97116990709
63,122942.781901711
64,121306.67511388261
65,125043.5092083032
66,107298.23630771622
67,130569.54810723716
68,146678.56004665053
69,179860.37430615013
70,110232.17252358384
71,110372.17835547712
72,157637.147578024
73,118651.79418616703
74,157954.53525054114
75,112701.57215633526
76,82050.9854285953
77,180662.1803941374
78,210999.12668089912
79,98752.81077990265
80,138782.01137304676
81,135587.1440659423
82,232773.8547293469
83,82028.97341862351
84,105996.33277460282
85,125274.70108783866
86,134783.4525218058
87,130565.20490613338
88,120363.96973697098
89,143561.65832244483
90,125174.91042862872
91,129350.64715412936
92,148344.67285730396
93,109703.46554667865
94,168479.28634576808
95,81524.90264598101
96,111012.50227334446
97,90175.27870175852
98,87663.53284114639
99,144879.6892541463
100,138493.37227157378
101,129553.43193958895
102,123155.90358869749
103,158266.327363498
104,144283.12588003755
105,222157.89118405868
106,75959.19699807266
107,217328.95559905368
108,135340.83364107087
109,131771.6918652811
110,126712.35903698078
111,147560.20349639087
112,247703.80170343976
113,120876.56248508002
114,216911.9601475107
115,218182.05602009714
116,194994.83101270415
117,153571.003229459
118,146700.70771095424
119,199360.0334231751
120,149184.9780722641
121,132141.6753551935
122,336343.5037719085
123,227586.28760497717
124,137410.94573076649
125,85470.97104188203
126,96462.24007049638
127,143994.06922246478
128,95464.53640159548
129,135048.40873281838
130,98931.50743111398
131,117902.57267364448
132,136295.05226401796
133,117717.16510854103
134,116112.32936431121
135,231304.3495987144
136,185825.2113673253
137,200322.11091996057
138,198268.53737795382
139,194701.68015171116
140,80972.62039136785
141,107234.50214841361
142,85154.32357385052
143,276013.76678685396
144,243504.11947036342
145,162258.0132545013
146,185726.82076354558
147,212945.86828903027
148,194442.41636251585
149,152704.6124166141
150,141172.13156416963
151,176436.45848774878
152,153426.58876606871
153,126209.69059890755
154,88011.17820810802
155,72111.75838360286
156,90369.58163873696
157,123581.6618538635
158,136443.8458692
159,155490.00610672846
160,125744.30440206021
161,142200.94436540583
162,297048.5184430329
163,207707.57536570868
164,130735.4156077215
165,170633.45452710692
166,188633.4483332426
167,275790.09282654716
168,185193.564586961
169,369990.7409899551
170,221907.78303702673
171,245619.02537636398
172,174210.80077467323
173,179690.40896765364
174,184711.71340689764
175,152920.44412357346
176,181433.6890541746
177,205798.3106874639
178,179896.2879101845
179,252841.43480431402
180,182996.72690794294
181,215302.26576850246
182,216999.11429339572
183,221036.61751455715
184,194461.35440560817
185,155858.58684236777
186,167345.80307549206
187,130897.27656320755
188,135780.89107502162
189,117801.35950430036
190,126332.12794256062
191,100639.34066792346
192,97320.942889047
193,160475.88675791826
194,160009.1054914053
195,146881.88778903318
196,155787.41475406842
197,153032.23601098836
198,146650.16214029441
199,153767.89394031084
200,448415.342523929
201,469262.9528021632
202,390791.1050020329
203,431904.2203650237
204,315726.52385726327
205,328114.27949841676
206,364536.3038139051
207,331670.57405567856
208,302247.57370218704
209,352624.46459906414
210,250689.2567629138
211,477528.4885965174
212,293925.43595392286
213,243146.3077956585
214,176728.15785911944
215,179538.5911890747
216,205901.4940115823
217,443223.86597235803
218,381994.06642440264
219,326759.51040369616
220,268524.05929377786
221,286713.33515497757
222,178548.97822591732
223,176448.28499491286
224,167841.92215697438
225,177092.3191009762
226,173153.99014082254
227,181780.74877252447
228,185843.13423920848
229,184646.7085092886
230,181214.38537016936
231,273974.24199448345
232,177593.5512348976
233,177941.72222091508
234,174101.2553703448
235,276447.7484530561
236,174841.2046177135
237,375002.5816159821
238,324785.70984221215
239,239946.17493887112
240,256493.14842057158
241,267019.05681974866
242,248829.92089343542
243,301810.8950890825
244,239296.82539459728
245,464616.5336488107
246,217249.40179775615
247,204520.32558280142
248,294916.3802960825
249,222661.76642428004
250,250737.4463344666
251,256871.3159755877
252,249166.33487050651
253,216624.83038997074
254,201999.70017687566
255,181228.79076082568
256,180778.74563681937
257,140150.58219256814
258,197737.33942570788
259,245465.40786513305
260,180594.44237680212
261,138851.87307340902
262,156627.09370485911
263,219747.81521353105
264,238458.7430635584
265,184614.81000230834
266,154215.3773726518
267,188540.64259806948
268,158341.56617594406
269,166305.69102917225
270,122382.33316918573
271,131545.52316216088
272,119251.5340462708
273,124052.22191657592
274,138480.64861190275
275,113378.18729751457
276,343377.78461067704
277,209424.94835785337
278,266923.5858097216
279,215445.78389767226
280,180238.19620324534
281,161628.88644517952
282,170837.343957495
283,311283.0274267424
284,213846.5760159071
285,229047.9416434356
286,223761.14397920878
287,236434.69717129064
288,149230.8819423639
289,130580.74449882923
290,247297.40953336057
291,124218.72940722766
292,147253.62292498542
293,212323.94201798108
294,168559.1094418426
295,129867.3578797087
296,124169.97666381179
297,140506.9784055524
298,165066.78000995147
299,166229.387551867
300,142485.16606354123
301,168834.97479135863
302,180109.2209985799
303,120198.34440872852
304,169378.65749236816
305,188785.93355015756
306,225021.35170726833
307,144003.71547552253
308,180877.62288065575
309,148031.77186963445
310,134950.23858128153
311,146032.66808671295
312,126414.16548063487
313,137980.98698979194
314,131285.70429949265
315,127795.84333546022
316,116038.80786657095
317,135324.304189385
318,113986.41974974224
319,183457.19986560819
320,137652.86355677422
321,99357.31291118514
322,124632.36436810826
323,99579.63573955031
324,113781.21041594962
325,161052.79561780978
326,174455.90562123604
327,64846.082303520634
328,108256.86673740814
329,88350.46859555376
330,187798.75480584256
331,158214.68471246382
332,132309.71590392225
333,148037.24703777028
334,135230.01066666155
335,124343.60281646083
336,114324.4819440156
337,123695.88462119187
338,117430.85702210075
339,127402.38699019414
340,126326.08962459263
341,139568.78520313982
342,152163.82396529545
343,135306.59648477932
344,137863.84663856807
345,113656.6357207278
346,141129.09287621314
347,124360.94402294107
348,117945.39545445777
349,143938.6399811703
350,96138.94504539428
351,99899.69739601595
352,117734.63989378534
353,101111.12411855777
354,60392.06628136997
355,92180.09879357484
356,103957.8302465479
357,142709.7608438965
358,114214.41879301833
359,58925.98515745592
360,114861.77164826485
361,145875.6017852722
362,42960.702594272596
363,130550.0290982455
364,128941.08833429347
365,100653.30495599724
366,106413.33506723796
367,134515.28733288863
368,118155.19399271123
369,144876.52379511975
370,190727.59785962544
371,84200.97136325951
372,148622.91262139753
373,115151.74430016082
374,155356.45112452176
375,129202.8626976244
376,93241.03492326217
377,128341.41884794767
378,86535.47820177149
379,146331.1229503575
380,135433.43005995447
381,68254.14185898726
382,134191.19276851436
383,137511.65766864523
384,130415.45705960107
385,160141.26748655102
386,160022.58998331393
387,59401.46612106436
388,116563.3011980821
389,123695.57373335728
390,157884.78883241548
391,130343.18541936074
392,127053.57586303534
393,167669.3293591247
394,142505.03632138923
395,211778.03799922214
396,164042.2057532012
397,137307.80260687417
398,121828.47283031305
399,144248.16388107603
400,121828.47283031305
401,306889.259631104
402,306805.82012501947
403,306805.82012501947
404,329309.56922910485
405,333674.1905633542
406,260928.79096759114
407,312412.5941860018
408,198005.24892446864
409,258456.44071833137
410,255733.78681318925
411,173620.58797237225
412,223312.9858914133
413,148313.76165972356
414,210247.97794141914
415,195661.13312747923
416,217960.00349778132
417,203517.55752684426
418,135476.38086816858
419,138616.16827690153
420,234588.0481448829
421,253591.81990461703
422,193977.8706238082
423,204175.30027365044
424,268607.7667589092
425,307828.2677924013
426,208992.48735515465
427,291160.737873377
428,172045.85523579817
429,128093.08926946239
430,134443.02223589076
431,110446.4534056361
432,127322.3957517009
433,135715.8298746948
434,139235.83265002968
435,123565.59791490756
436,108678.60239909796
437,106755.87430129493
438,150581.54259764912
439,168544.55173518084
440,164728.61649273033
441,132331.7754398387
442,226770.52565647353
443,128440.7297926782
444,186705.88496156907
445,172562.65747342288
446,198026.5389723744
447,117193.91952386394
448,143816.1537517637
449,128207.80600072624
450,208042.12551067464
451,304913.7459485428
452,147795.5275828899
453,53382.34935250649
454,294535.31601002836
455,73402.4720483802
456,274058.3765594932
457,137221.63511758417
458,162582.5252702716
459,146446.15831747346
460,425412.7755216457
461,327654.73994193826
462,213159.83978957255
463,215081.61353565814
464,212574.5577182467
465,401115.0690386792
466,133574.79706873363
467,160883.60872922337
468,124517.15504512885
469,137193.47746395617
470,145284.2765506052
471,128153.03383221144
472,171657.5887600426
473,181845.35480657604
474,176760.64987545964
475,181688.80833578887
476,181890.09292298878
477,173694.22001965097
478,238321.96799995287
479,199916.6679352446
480,170974.4067445603
481,184134.8668862934
482,213261.27228649653
483,334050.81535955967
484,382104.69540976663
485,143167.30167940384
486,304038.58220928046
487,190885.1590388004
488,232597.82153792464
489,178291.1582366354
490,256300.75164899
491,220610.680603082
492,164464.57031446983
493,201760.79144024037
494,129172.62243142187
495,297914.2081744154
496,157701.43279456857
497,307316.3107201759
498,133792.35376954154
499,115128.8541425775
500,117793.99213402417
501,98517.04681529748
502,108378.65828554086
503,103396.81890704116
504,148564.50563777328
505,159114.15485542407
506,279739.00446574803
507,409896.159266122
508,398712.9008606391
509,436710.00070211914
510,466565.05368806823
511,386680.482426098
512,267150.66559508216
513,325727.9408180973
514,436282.95638425933
515,265207.02984065947
516,354923.76715993375
517,385493.2472481154
518,330695.8466711818
519,188676.75289743452
520,346915.9289961308
521,223295.0555141455
522,211786.8786975614
523,171319.0100412662
524,209745.50342657216
525,210163.58806615023
526,180667.45992455992
527,171794.480698545
